dataset,rare_class,seed,rts,variant,group,sep,split_hash,git_sha,cell_id_align_hash,abstain,chosen_rank,baseline_f1,rare_f1,rare_recall,rare_precision,n_rescued,n_false_rescues,ffr
immune_dc,ASDC,44,0.10,A2_minus_necessity,A,1.9127,33b8ce5bdff2e437,7a90a01,0311166af38c,False,1,0.9212,0.9453,0.9308,0.9603,15,5,0.000833
immune_dc,ASDC,44,0.10,A3_minus_adaptive_rank,A,1.9127,33b8ce5bdff2e437,7a90a01,0311166af38c,False,1,0.9212,0.9453,0.9308,0.9603,15,5,0.000833
immune_dc,ASDC,44,0.10,A4_minus_tau,A,1.9127,33b8ce5bdff2e437,7a90a01,0311166af38c,False,1,0.9212,0.9453,0.9308,0.9603,15,5,0.000833
immune_dc,ASDC,44,0.10,A5_full,A,1.9127,33b8ce5bdff2e437,7a90a01,0311166af38c,False,1,0.9212,0.9453,0.9308,0.9603,15,5,0.000833
immune_dc,ASDC,44,0.10,R1_rank1,R,1.9127,33b8ce5bdff2e437,7a90a01,0311166af38c,False,1,0.9212,0.9453,0.9308,0.9603,15,5,0.000833
immune_dc,ASDC,44,0.10,R2_rank2,R,1.9127,33b8ce5bdff2e437,7a90a01,0311166af38c,False,2,0.9212,0.8155,0.9692,0.7039,68,53,0.008827
immune_dc,ASDC,44,0.10,R3_rank3,R,1.9127,33b8ce5bdff2e437,7a90a01,0311166af38c,False,3,0.9212,0.8025,0.9692,0.6848,73,58,0.00966
immune_dc,ASDC,44,0.10,R_adaptive,R,1.9127,33b8ce5bdff2e437,7a90a01,0311166af38c,False,1,0.9212,0.9453,0.9308,0.9603,15,5,0.000833
immune_dc,ASDC,44,all,A0_baseline,A,1.8292,33b8ce5bdff2e437,7a90a01,0311166af38c,False,0,0.9486,0.9486,0.9231,0.9756,0,0,0.0
immune_dc,ASDC,44,all,A1_minus_sep,A,1.8292,33b8ce5bdff2e437,7a90a01,0311166af38c,False,1,0.9486,0.9349,0.9385,0.9313,8,6,0.000999
