dataset,seed,rare_train_size,primary_group,metric,n,median,q25,q75
mouse_lung_tms_10x,42,0.01,true_rescued_rare,rare_membership_score,7,0.06489128916673825,0.06235857066806886,0.070464612802673
mouse_lung_tms_10x,42,0.05,non_target,rare_membership_score,1316,0.014320835043918175,0.011435561410471539,0.03086284257196992
mouse_lung_tms_10x,42,0.05,unrescued_rare,rare_membership_score,51,0.0903464874426007,0.08027490844966825,0.10570920393311914
mouse_lung_tms_10x,42,0.10,non_target,rare_membership_score,1316,0.020674529742464073,0.01683141359728659,0.04670534265279513
mouse_lung_tms_10x,42,0.10,unrescued_rare,rare_membership_score,22,0.10048484388236607,0.09360766026980447,0.11211232143709665
mouse_lung_tms_10x,42,0.10,baseline_correct_rare,rare_membership_score,14,0.14374618917122034,0.13100402077596138,0.16041230183584854
mouse_lung_tms_10x,42,0.10,true_rescued_rare,rare_membership_score,15,0.12202566136942397,0.11509331574170495,0.12569176796988007
mouse_lung_tms_10x,42,all,non_target,rare_membership_score,1316,0.022977535862065752,0.018983751393799295,0.04548615306715586
mouse_lung_tms_10x,42,all,baseline_correct_rare,rare_membership_score,34,0.150205957188627,0.1387127184298304,0.16523400780489117
mouse_lung_tms_10x,42,all,unrescued_rare,rare_membership_score,17,0.10852095228621186,0.10437018628373834,0.13174194988097157
mouse_lung_tms_10x,43,0.01,non_target,rare_membership_score,1316,0.02621683665682644,0.020789894652020274,0.06902840744096786
mouse_lung_tms_10x,43,0.01,unrescued_rare,rare_membership_score,51,0.1297331305770061,0.11480230344584119,0.1453440300672197
