dataset,seed,rare_train_size,contrast,left_group,right_group,metric,n_left,n_right,median_left,median_right,raw_median_difference,raw_cliffs_delta,hypothesis_direction,oriented_median_difference,oriented_cliffs_delta
immune_dc,42,0.10,H2_true_rescued_vs_unrescued,true_rescued_rare,unrescued_rare,nearest_nonrare_distance,12,15,4.425848338760946,3.8125033197942653,0.6133450189666805,0.6777777777777778,1.0,0.6133450189666805,0.6777777777777778
immune_dc,42,0.10,H2_true_rescued_vs_unrescued,true_rescued_rare,unrescued_rare,prototype_margin,12,15,0.5657912597175585,-0.7476919930583699,1.3134832527759284,1.0,1.0,1.3134832527759284,1.0
immune_dc,42,0.10,H2_true_rescued_vs_unrescued,true_rescued_rare,unrescued_rare,scANVI_rare_probability,12,15,0.037752657999999994,9.083181e-06,0.037743574818999995,0.8555555555555556,,,
immune_dc,42,0.10,H3a_true_rescued_vs_non_target,true_rescued_rare,non_target,rare_membership_score,12,6004,0.23392076902061482,0.06824666506679693,0.16567410395381788,0.9999444814568066,1.0,0.16567410395381788,0.9999444814568066
immune_dc,42,0.10,H3a_true_rescued_vs_non_target,true_rescued_rare,non_target,rare_rank,12,6004,1.0,5.0,-4.0,-0.9995003331112592,-1.0,4.0,0.9995003331112592
immune_dc,42,0.10,H3a_true_rescued_vs_non_target,true_rescued_rare,non_target,rare_standardized_distance,12,6004,1.405944045779877,2.572989508556611,-1.1670454627767337,-0.9990006662225184,-1.0,1.1670454627767337,0.9990006662225184
immune_dc,42,0.10,H3a_true_rescued_vs_non_target,true_rescued_rare,non_target,standardized_prototype_margin,12,6004,-0.170283599221695,-1.6310961913028326,1.4608125920811377,0.9998889629136132,1.0,1.4608125920811377,0.9998889629136132
immune_dc,42,0.10,H3a_true_rescued_vs_non_target,true_rescued_rare,non_target,rare_prototype_distance,12,6004,3.5804642546017336,6.552534569568916,-2.9720703149671825,-0.9990006662225184,-1.0,2.9720703149671825,0.9990006662225184
immune_dc,42,0.10,H3a_true_rescued_vs_non_target,true_rescued_rare,non_target,nearest_nonrare_distance,12,6004,4.425848338760946,2.947757692185777,1.4780906465751689,0.8639240506329113,1.0,1.4780906465751689,0.8639240506329113
immune_dc,42,0.10,H3a_true_rescued_vs_non_target,true_rescued_rare,non_target,prototype_margin,12,6004,0.5657912597175585,-3.5509908374220327,4.116782097139591,1.0,1.0,4.116782097139591,1.0
immune_dc,42,0.10,H3a_true_rescued_vs_non_target,true_rescued_rare,non_target,scANVI_rare_probability,12,6004,0.037752657999999994,1.7210653499999999e-09,0.03775265627893464,0.9992782589384854,,,
immune_dc,42,0.10,H3b_true_rescued_vs_closest_competitor,true_rescued_rare,closest_competitor,rare_membership_score,12,1893,0.23392076902061482,0.06843837631432308,0.16548239270629173,0.9998239126606796,1.0,0.16548239270629173,0.9998239126606796
immune_dc,42,0.10,H3b_true_rescued_vs_closest_competitor,true_rescued_rare,closest_competitor,rare_rank,12,1893,1.0,4.0,-3.0,-0.9989434759640782,-1.0,3.0,0.9989434759640782
immune_dc,42,0.10,H3b_true_rescued_vs_closest_competitor,true_rescued_rare,closest_competitor,rare_standardized_distance,12,1893,1.405944045779877,2.464647378156475,-1.0587033323765977,-0.9970065152315548,-1.0,1.0587033323765977,0.9970065152315548
immune_dc,42,0.10,H3b_true_rescued_vs_closest_competitor,true_rescued_rare,closest_competitor,standardized_prototype_margin,12,1893,-0.170283599221695,-1.5087157843883556,1.3384321851666607,0.9996478253213594,1.0,1.3384321851666607,0.9996478253213594
immune_dc,42,0.10,H3b_true_rescued_vs_closest_competitor,true_rescued_rare,closest_competitor,rare_prototype_distance,12,1893,3.5804642546017336,6.276623784691336,-2.696159530089602,-0.9970065152315548,-1.0,2.696159530089602,0.9970065152315548
immune_dc,42,0.10,H3b_true_rescued_vs_closest_competitor,true_rescued_rare,closest_competitor,nearest_nonrare_distance,12,1893,4.425848338760946,3.034611218982785,1.3912371197781606,0.8508540235957034,1.0,1.3912371197781606,0.8508540235957034
