dataset,seed,rare_train_size,separability,repeat,decision_seed,original_pass,adaptive_pass,adaptive_reason,actual_folds,active_folds,val_missed,oof_delta_f1,oof_delta_f1_lcb,oof_ffr_wilson_upper,oof_false_rescues
pancreas_baron,44,0.01,1.221958717366858,8,443571471,False,False,failed:active_folds,5,1,28,0.047646274061368454,0.0031375306325335814,0.005861921247071321,2
pancreas_baron,44,0.01,1.221958717366858,9,3491662663,False,False,"failed:active_folds,gain",5,1,28,0.023698523698523655,-0.010766908700026206,0.005861921247071321,2
pancreas_baron,44,0.01,1.221958717366858,10,1523946410,False,False,"failed:active_folds,gain",5,1,28,0.023698523698523655,-0.010462680883472956,0.005861921247071321,2
pancreas_baron,44,0.01,1.221958717366858,11,3838349798,False,False,"failed:active_folds,gain",5,0,28,0.0,0.0,0.0030884961557806076,0
pancreas_baron,44,0.01,1.221958717366858,12,1730610743,False,False,"failed:active_folds,gain",5,0,28,0.0,0.0,0.0030884961557806076,0
pancreas_baron,44,0.01,1.221958717366858,13,3874791555,False,False,"failed:active_folds,gain",5,1,28,0.01673881673881672,-0.021035862548540646,0.0070891437534947145,3
pancreas_baron,44,0.01,1.221958717366858,14,222251061,False,False,"failed:active_folds,gain",5,1,28,0.004467754467754492,-0.027763601102378188,0.0070891437534947145,3
pancreas_baron,44,0.01,1.221958717366858,15,2094622475,False,False,"failed:active_folds,gain",5,1,28,0.02877834953306646,-0.012744042365401559,0.0070891437534947145,3
pancreas_baron,44,0.01,1.221958717366858,16,2681636248,False,False,failed:active_folds,5,1,28,0.05218855218855223,0.0008742180586840787,0.0070891437534947145,3
pancreas_baron,44,0.01,1.221958717366858,17,4059174773,False,False,"failed:active_folds,gain",5,1,28,0.023698523698523655,-0.011762007717844667,0.005861921247071321,2
pancreas_baron,44,0.01,1.221958717366858,18,861115792,False,False,"failed:active_folds,gain",5,1,28,0.023698523698523655,-0.013750527289742341,0.005861921247071321,2
pancreas_baron,44,0.01,1.221958717366858,19,2660629564,False,False,"failed:active_folds,gain",5,1,28,0.04059284433116206,-0.003707537420408763,0.0070891437534947145,3
pancreas_baron,44,0.05,1.221958717366858,0,1377870411,False,False,"failed:active_folds,gain",5,1,28,0.03578643578643581,-0.006669405028628267,0.005861921247071321,2
pancreas_baron,44,0.05,1.221958717366858,1,3426815686,False,False,"failed:active_folds,gain",5,0,28,0.0,0.0,0.0030884961557806076,0
pancreas_baron,44,0.05,1.221958717366858,2,731043587,False,False,"failed:active_folds,gain",5,1,28,0.023698523698523655,-0.013745704467354014,0.005861921247071321,2
pancreas_baron,44,0.05,1.221958717366858,3,2101890651,False,False,"failed:active_folds,gain",5,1,28,0.023698523698523655,-0.013415646773073931,0.005861921247071321,2
pancreas_baron,44,0.05,1.221958717366858,4,1753156919,False,False,"failed:active_folds,gain",5,1,28,0.023698523698523655,-0.013340299669932464,0.005861921247071321,2
pancreas_baron,44,0.05,1.221958717366858,5,3846687315,False,False,"failed:active_folds,gain",5,1,28,0.04059284433116206,-0.008057877532060552,0.0070891437534947145,3
pancreas_baron,44,0.05,1.221958717366858,6,1075834476,False,False,"failed:active_folds,gain",5,1,28,0.023698523698523655,-0.014162240966364648,0.005861921247071321,2
pancreas_baron,44,0.05,1.221958717366858,7,2556453237,False,False,"failed:active_folds,gain",5,0,28,0.0,0.0,0.0030884961557806076,0
pancreas_baron,44,0.05,1.221958717366858,8,99106107,False,False,"failed:active_folds,gain",5,1,28,0.01673881673881672,-0.02089911994097975,0.0070891437534947145,3
pancreas_baron,44,0.05,1.221958717366858,9,3642251179,False,False,"failed:active_folds,gain",5,1,28,0.03578643578643581,-0.0030236307015937157,0.005861921247071321,2
pancreas_baron,44,0.05,1.221958717366858,10,1208813739,False,False,"failed:active_folds,gain",5,1,28,-0.008041580857114816,-0.034411489227510215,0.0070891437534947145,3
pancreas_baron,44,0.05,1.221958717366858,11,4219182822,False,False,"failed:active_folds,gain",5,1,28,0.023698523698523655,-0.012508229098090795,0.005861921247071321,2
pancreas_baron,44,0.05,1.221958717366858,12,538938211,False,False,"failed:active_folds,gain",5,0,28,0.0,0.0,0.0030884961557806076,0
pancreas_baron,44,0.05,1.221958717366858,13,3450970989,False,False,"failed:active_folds,gain",5,1,28,0.011375894871040515,-0.020565926294356263,0.005861921247071321,2
pancreas_baron,44,0.05,1.221958717366858,14,1426314824,False,False,"failed:active_folds,gain",5,0,28,0.0,0.0,0.0030884961557806076,0
pancreas_baron,44,0.05,1.221958717366858,15,3964749718,False,False,"failed:active_folds,gain",5,0,28,0.0,0.0,0.0030884961557806076,0
pancreas_baron,44,0.05,1.221958717366858,16,3701730577,False,False,"failed:active_folds,gain",5,1,28,0.004467754467754492,-0.02830959078123585,0.0070891437534947145,3
pancreas_baron,44,0.05,1.221958717366858,17,339603071,False,False,"failed:active_folds,gain",5,0,28,0.0,0.0,0.0030884961557806076,0
pancreas_baron,44,0.05,1.221958717366858,18,1118406538,False,False,"failed:active_folds,gain",5,1,28,0.023698523698523655,-0.01346938775510198,0.005861921247071321,2
pancreas_baron,44,0.05,1.221958717366858,19,2986223683,False,False,"failed:active_folds,gain",5,0,28,0.0,0.0,0.0030884961557806076,0
pancreas_baron,44,0.10,1.1240523770949333,0,2346338605,False,False,"failed:active_folds,gain",5,2,4,-0.021441550575408863,-0.04256854256854259,0.0070891437534947145,3
pancreas_baron,44,0.10,1.1240523770949333,1,3818242683,False,False,failed:gain,5,4,4,-0.02837049948909065,-0.05083679160362992,0.008265057188130219,4
pancreas_baron,44,0.10,1.1240523770949333,2,1800497682,False,False,failed:gain,5,4,4,-0.02837049948909065,-0.05319912446605936,0.008265057188130219,4
