dataset,seed,rts,rare_class,k,sep,variant,abstain,abstain_reason,chosen_rank,rare_f1,rare_recall,rare_precision,rare_fp_rate,rescue_ffr,n_rescued,n_false_rescue
tabula_sapiens_stomach,42,all,mast cell,10,1.8181,kNN+scRareRefine,False,,2,0.6939,0.5312,1.0,0.0,0.0,7,0
tabula_sapiens_stomach,43,0.01,mast cell,3,2.5124,kNN,False,,0,0.3158,0.1875,1.0,0.0,0.0,0,0
tabula_sapiens_stomach,43,0.01,mast cell,3,2.5124,kNN+scRareRefine,False,,3,0.6667,0.5,1.0,0.0,0.0,10,0
tabula_sapiens_stomach,43,0.05,mast cell,3,2.5124,kNN,False,,0,0.3158,0.1875,1.0,0.0,0.0,0,0
tabula_sapiens_stomach,43,0.05,mast cell,3,2.5124,kNN+scRareRefine,False,,3,0.6667,0.5,1.0,0.0,0.0,10,0
tabula_sapiens_stomach,43,0.10,mast cell,3,2.5124,kNN,False,,0,0.3158,0.1875,1.0,0.0,0.0,0,0
tabula_sapiens_stomach,43,0.10,mast cell,3,2.5124,kNN+scRareRefine,False,,3,0.6667,0.5,1.0,0.0,0.0,10,0
tabula_sapiens_stomach,43,all,mast cell,10,1.7546,kNN,False,,0,0.5116,0.3438,1.0,0.0,0.0,0,0
tabula_sapiens_stomach,43,all,mast cell,10,1.7546,kNN+scRareRefine,False,,2,0.72,0.5625,1.0,0.0,0.0,7,0
tabula_sapiens_stomach,44,0.01,mast cell,5,1.8939,kNN,False,,0,0.3158,0.1875,1.0,0.0,0.0,0,0
tabula_sapiens_stomach,44,0.01,mast cell,5,1.8939,kNN+scRareRefine,False,,1,0.6939,0.5312,1.0,0.0,0.0,11,0
tabula_sapiens_stomach,44,0.05,mast cell,5,1.8939,kNN,False,,0,0.3158,0.1875,1.0,0.0,0.0,0,0
tabula_sapiens_stomach,44,0.05,mast cell,5,1.8939,kNN+scRareRefine,False,,1,0.6939,0.5312,1.0,0.0,0.0,11,0
tabula_sapiens_stomach,44,0.10,mast cell,5,1.8939,kNN,False,,0,0.3158,0.1875,1.0,0.0,0.0,0,0
tabula_sapiens_stomach,44,0.10,mast cell,5,1.8939,kNN+scRareRefine,False,,1,0.6939,0.5312,1.0,0.0,0.0,11,0
tabula_sapiens_stomach,44,all,mast cell,5,1.7388,kNN,False,,0,0.5455,0.375,1.0,0.0,0.0,0,0
tabula_sapiens_stomach,44,all,mast cell,5,1.7388,kNN+scRareRefine,False,,2,0.7692,0.625,1.0,0.0,0.0,8,0
tabula_small_intestine,42,0.01,intestinal tuft cell,3,3.165,kNN,False,,0,0.9848,1.0,0.9701,0.000318,0.0,0,0
tabula_small_intestine,42,0.01,intestinal tuft cell,3,3.165,kNN+scRareRefine,True,val_missed=2 < MIN_VAL_MISSED=3,0,0.9848,1.0,0.9701,0.000318,0.0,0,0
tabula_small_intestine,42,0.05,intestinal tuft cell,3,2.6237,kNN,False,,0,0.9774,1.0,0.9559,0.000477,0.0,0,0
tabula_small_intestine,42,0.05,intestinal tuft cell,3,2.6237,kNN+scRareRefine,True,val_missed=1 < MIN_VAL_MISSED=3,0,0.9774,1.0,0.9559,0.000477,0.0,0,0
tabula_small_intestine,42,0.10,intestinal tuft cell,15,2.301,kNN,False,,0,0.9848,1.0,0.9701,0.000318,0.0,0,0
tabula_small_intestine,42,0.10,intestinal tuft cell,15,2.301,kNN+scRareRefine,True,val baseline 零漏判稀有,0,0.9848,1.0,0.9701,0.000318,0.0,0,0
tabula_small_intestine,42,all,intestinal tuft cell,3,2.4477,kNN,False,,0,0.9774,1.0,0.9559,0.000477,0.0,0,0
tabula_small_intestine,42,all,intestinal tuft cell,3,2.4477,kNN+scRareRefine,True,val baseline 零漏判稀有,0,0.9774,1.0,0.9559,0.000477,0.0,0,0
tabula_small_intestine,43,0.01,intestinal tuft cell,3,2.5937,kNN,False,,0,0.9692,0.9692,0.9692,0.000318,0.0,0,0
tabula_small_intestine,43,0.01,intestinal tuft cell,3,2.5937,kNN+scRareRefine,True,val_missed=1 < MIN_VAL_MISSED=3,0,0.9692,0.9692,0.9692,0.000318,0.0,0,0
tabula_small_intestine,43,0.05,intestinal tuft cell,5,2.4086,kNN,False,,0,0.9771,0.9846,0.9697,0.000318,0.0,0,0
tabula_small_intestine,43,0.05,intestinal tuft cell,5,2.4086,kNN+scRareRefine,True,val baseline 零漏判稀有,0,0.9771,0.9846,0.9697,0.000318,0.0,0,0
tabula_small_intestine,43,0.10,intestinal tuft cell,3,3.2691,kNN,False,,0,0.9697,0.9846,0.9552,0.000477,0.0,0,0
tabula_small_intestine,43,0.10,intestinal tuft cell,3,3.2691,kNN+scRareRefine,True,val baseline 零漏判稀有,0,0.9697,0.9846,0.9552,0.000477,0.0,0,0
tabula_small_intestine,43,all,intestinal tuft cell,3,2.6232,kNN,False,,0,0.9774,1.0,0.9559,0.000477,0.0,0,0
tabula_small_intestine,43,all,intestinal tuft cell,3,2.6232,kNN+scRareRefine,True,val baseline 零漏判稀有,0,0.9774,1.0,0.9559,0.000477,0.0,0,0
tabula_small_intestine,44,0.01,intestinal tuft cell,3,2.5892,kNN,False,,0,0.9692,0.9692,0.9692,0.000318,0.0,0,0
tabula_small_intestine,44,0.01,intestinal tuft cell,3,2.5892,kNN+scRareRefine,True,val_missed=2 < MIN_VAL_MISSED=3,0,0.9692,0.9692,0.9692,0.000318,0.0,0,0
tabula_small_intestine,44,0.05,intestinal tuft cell,3,2.1813,kNN,False,,0,0.9771,0.9846,0.9697,0.000318,0.0,0,0
tabula_small_intestine,44,0.05,intestinal tuft cell,3,2.1813,kNN+scRareRefine,True,val baseline 零漏判稀有,0,0.9771,0.9846,0.9697,0.000318,0.0,0,0
tabula_small_intestine,44,0.10,intestinal tuft cell,3,2.6335,kNN,False,,0,0.9848,1.0,0.9701,0.000318,0.0,0,0
tabula_small_intestine,44,0.10,intestinal tuft cell,3,2.6335,kNN+scRareRefine,True,val_missed=1 < MIN_VAL_MISSED=3,0,0.9848,1.0,0.9701,0.000318,0.0,0,0
tabula_small_intestine,44,all,intestinal tuft cell,3,2.3482,kNN,False,,0,0.9774,1.0,0.9559,0.000477,0.0,0,0
tabula_small_intestine,44,all,intestinal tuft cell,3,2.3482,kNN+scRareRefine,True,val baseline 零漏判稀有,0,0.9774,1.0,0.9559,0.000477,0.0,0,0
