dataset,rare_class,actual_training_labeled_rare_count,variant,variant_group,seed,n_identity_runs,rare_f1,rare_recall,rescue_precision,incremental_fpr,abstain,alpha_violation
pancreas_baron,gamma,5,minus_separability_gate,component,43,1,0.75,0.627906976744186,0.9130434782608695,0.002442002442002442,0.0,0.0
pancreas_baron,gamma,5,minus_necessity_gate,component,43,1,0.24489795918367346,0.13953488372093023,,0.0,1.0,0.0
pancreas_baron,gamma,5,fixed_rank_1,component,43,1,0.24489795918367346,0.13953488372093023,,0.0,1.0,0.0
pancreas_baron,gamma,5,minus_conformal_tau,component,43,1,0.24489795918367346,0.13953488372093023,,0.0,1.0,0.0
pancreas_baron,gamma,5,full_method,component,43,1,0.24489795918367346,0.13953488372093023,,0.0,1.0,0.0
pancreas_baron,gamma,5,rank_1,rank,43,1,0.24489795918367346,0.13953488372093023,,0.0,1.0,0.0
pancreas_baron,gamma,5,rank_2,rank,43,1,0.24489795918367346,0.13953488372093023,,0.0,1.0,0.0
pancreas_baron,gamma,5,rank_3,rank,43,1,0.24489795918367346,0.13953488372093023,,0.0,1.0,0.0
pancreas_baron,gamma,5,adaptive_rank,rank,43,1,0.24489795918367346,0.13953488372093023,,0.0,1.0,0.0
pancreas_baron,gamma,10,baseline,component,43,1,0.7808219178082192,0.6627906976744186,,0.0,0.0,0.0
pancreas_baron,gamma,10,minus_separability_gate,component,43,1,0.8242424242424242,0.7906976744186046,0.5789473684210527,0.004884004884004884,0.0,0.0
pancreas_baron,gamma,10,minus_necessity_gate,component,43,1,0.8242424242424242,0.7906976744186046,0.5789473684210527,0.004884004884004884,0.0,0.0
pancreas_baron,gamma,10,fixed_rank_1,component,43,1,0.8242424242424242,0.7906976744186046,0.5789473684210527,0.004884004884004884,0.0,0.0
pancreas_baron,gamma,10,minus_conformal_tau,component,43,1,0.7808219178082192,0.6627906976744186,,0.0,1.0,0.0
pancreas_baron,gamma,10,full_method,component,43,1,0.8242424242424242,0.7906976744186046,0.5789473684210527,0.004884004884004884,0.0,0.0
pancreas_baron,gamma,10,rank_1,rank,43,1,0.8242424242424242,0.7906976744186046,0.5789473684210527,0.004884004884004884,0.0,0.0
pancreas_baron,gamma,10,rank_2,rank,43,1,0.8117647058823529,0.8023255813953488,0.5,0.007326007326007326,0.0,0.0
pancreas_baron,gamma,10,rank_3,rank,43,1,0.8117647058823529,0.8023255813953488,0.5,0.007326007326007326,0.0,0.0
pancreas_baron,gamma,10,adaptive_rank,rank,43,1,0.8242424242424242,0.7906976744186046,0.5789473684210527,0.004884004884004884,0.0,0.0
pancreas_baron,gamma,106,baseline,component,43,1,0.9221556886227545,0.8953488372093024,,0.0,0.0,0.0
pancreas_baron,gamma,106,minus_separability_gate,component,43,1,0.9221556886227545,0.8953488372093024,,0.0,1.0,0.0
pancreas_baron,gamma,106,minus_necessity_gate,component,43,1,0.9221556886227545,0.8953488372093024,,0.0,1.0,0.0
pancreas_baron,gamma,106,fixed_rank_1,component,43,1,0.9221556886227545,0.8953488372093024,,0.0,1.0,0.0
pancreas_baron,gamma,106,minus_conformal_tau,component,43,1,0.9221556886227545,0.8953488372093024,,0.0,1.0,0.0
pancreas_baron,gamma,106,full_method,component,43,1,0.9221556886227545,0.8953488372093024,,0.0,1.0,0.0
pancreas_baron,gamma,106,rank_1,rank,43,1,0.9221556886227545,0.8953488372093024,,0.0,1.0,0.0
pancreas_baron,gamma,106,rank_2,rank,43,1,0.9221556886227545,0.8953488372093024,,0.0,1.0,0.0
pancreas_baron,gamma,106,rank_3,rank,43,1,0.9221556886227545,0.8953488372093024,,0.0,1.0,0.0
pancreas_baron,gamma,106,adaptive_rank,rank,43,1,0.9221556886227545,0.8953488372093024,,0.0,1.0,0.0
pancreas_baron,gamma,5,baseline,component,44,1,0.676923076923077,0.5116279069767442,,0.0,0.0,0.0
pancreas_baron,gamma,5,minus_separability_gate,component,44,1,0.8315789473684211,0.9186046511627907,0.5833333333333334,0.015262515262515262,0.0,1.0
pancreas_baron,gamma,5,minus_necessity_gate,component,44,1,0.676923076923077,0.5116279069767442,,0.0,1.0,0.0
pancreas_baron,gamma,5,fixed_rank_1,component,44,1,0.676923076923077,0.5116279069767442,,0.0,1.0,0.0
pancreas_baron,gamma,5,minus_conformal_tau,component,44,1,0.676923076923077,0.5116279069767442,,0.0,1.0,0.0
pancreas_baron,gamma,5,full_method,component,44,1,0.676923076923077,0.5116279069767442,,0.0,1.0,0.0
pancreas_baron,gamma,5,rank_1,rank,44,1,0.676923076923077,0.5116279069767442,,0.0,1.0,0.0
pancreas_baron,gamma,5,rank_2,rank,44,1,0.676923076923077,0.5116279069767442,,0.0,1.0,0.0
pancreas_baron,gamma,5,rank_3,rank,44,1,0.676923076923077,0.5116279069767442,,0.0,1.0,0.0
pancreas_baron,gamma,5,adaptive_rank,rank,44,1,0.676923076923077,0.5116279069767442,,0.0,1.0,0.0
pancreas_baron,gamma,10,baseline,component,44,1,0.8875,0.8255813953488372,,0.0,0.0,0.0
pancreas_baron,gamma,10,minus_separability_gate,component,44,1,0.8764044943820225,0.9069767441860465,0.3888888888888889,0.006715506715506716,0.0,0.0
pancreas_baron,gamma,10,minus_necessity_gate,component,44,1,0.8875,0.8255813953488372,,0.0,1.0,0.0
pancreas_baron,gamma,10,fixed_rank_1,component,44,1,0.8875,0.8255813953488372,,0.0,1.0,0.0
pancreas_baron,gamma,10,minus_conformal_tau,component,44,1,0.8875,0.8255813953488372,,0.0,1.0,0.0
pancreas_baron,gamma,10,full_method,component,44,1,0.8875,0.8255813953488372,,0.0,1.0,0.0
pancreas_baron,gamma,10,rank_1,rank,44,1,0.8875,0.8255813953488372,,0.0,1.0,0.0
pancreas_baron,gamma,10,rank_2,rank,44,1,0.8875,0.8255813953488372,,0.0,1.0,0.0
pancreas_baron,gamma,10,rank_3,rank,44,1,0.8875,0.8255813953488372,,0.0,1.0,0.0
pancreas_baron,gamma,10,adaptive_rank,rank,44,1,0.8875,0.8255813953488372,,0.0,1.0,0.0
pancreas_baron,gamma,106,baseline,component,44,1,0.896969696969697,0.8604651162790697,,0.0,0.0,0.0
pancreas_baron,gamma,106,minus_separability_gate,component,44,1,0.896969696969697,0.8604651162790697,,0.0,1.0,0.0
