dataset,rare_train_size,method,n_ok,f1_mean,f1_std,rec_mean,rec_std,fp_rate_max
mouse_lung_tms_10x,0.05,scCAD,3,0.0057,0.0081,0.0065,0.0092,0.058511
mouse_lung_tms_10x,0.05,TOSICA,3,0.1072,0.086,0.0588,0.048,0.00076
mouse_lung_tms_10x,0.05,scRareRefine,3,0.1643,0.2323,0.1111,0.1571,0.00076
mouse_lung_tms_10x,0.10,scANVI,3,0.3153,0.2265,0.2091,0.1513,0.00076
mouse_lung_tms_10x,0.10,kNN,3,0.3541,0.1275,0.2222,0.091,0.0
mouse_lung_tms_10x,0.10,CellTypist,3,0.2358,0.0996,0.1373,0.0641,0.0
mouse_lung_tms_10x,0.10,scBalance,3,0.2853,0.0935,0.1699,0.0647,0.0
mouse_lung_tms_10x,0.10,ProtoCloud,3,0.2095,0.0437,0.1176,0.0278,0.0
mouse_lung_tms_10x,0.10,HiCat,3,0.0,0.0,0.0,0.0,0.0
mouse_lung_tms_10x,0.10,scCAD,3,0.1728,0.1226,0.2091,0.1513,0.058511
mouse_lung_tms_10x,0.10,TOSICA,3,0.2088,0.024,0.1176,0.016,0.00076
mouse_lung_tms_10x,0.10,scRareRefine,3,0.4097,0.2994,0.3072,0.2344,0.00152
mouse_lung_tms_10x,all,scANVI,3,0.7922,0.0112,0.7386,0.0647,0.008359
mouse_lung_tms_10x,all,kNN,3,0.817,0.0181,0.732,0.037,0.00304
mouse_lung_tms_10x,all,CellTypist,3,0.8,0.0,0.7059,0.0,0.00228
mouse_lung_tms_10x,all,scBalance,3,0.8017,0.0224,0.732,0.0647,0.006079
mouse_lung_tms_10x,all,ProtoCloud,3,0.7111,0.0138,0.5555,0.0185,0.00076
mouse_lung_tms_10x,all,HiCat,3,0.501,0.0689,0.3399,0.0667,0.00076
mouse_lung_tms_10x,all,scCAD,3,0.4801,0.0336,0.7386,0.0647,0.06307
mouse_lung_tms_10x,all,TOSICA,3,0.7789,0.0,0.7255,0.0,0.005319
mouse_lung_tms_10x,all,scRareRefine,3,0.7908,0.0094,0.7451,0.0733,0.009878
mouse_pancreas_tms_10x,0.01,scANVI,3,0.4556,0.255,0.3286,0.2046,0.0
mouse_pancreas_tms_10x,0.01,kNN,3,0.7034,0.0488,0.5446,0.0567,0.0
mouse_pancreas_tms_10x,0.01,CellTypist,3,0.2378,0.0586,0.1361,0.037,0.0
mouse_pancreas_tms_10x,0.01,scBalance,3,0.5403,0.0923,0.3756,0.0863,0.0
mouse_pancreas_tms_10x,0.01,ProtoCloud,3,0.1793,0.0191,0.0986,0.0115,0.0
mouse_pancreas_tms_10x,0.01,HiCat,3,0.0,0.0,0.0,0.0,0.0
mouse_pancreas_tms_10x,0.01,scCAD,3,0.3262,0.207,0.3333,0.2058,0.072917
mouse_pancreas_tms_10x,0.01,TOSICA,3,0.3603,0.0437,0.2207,0.0332,0.0
mouse_pancreas_tms_10x,0.01,scRareRefine,3,0.8103,0.0973,0.7324,0.161,0.008102
mouse_pancreas_tms_10x,0.05,scANVI,3,0.8815,0.0322,0.7934,0.0531,0.001157
mouse_pancreas_tms_10x,0.05,kNN,3,0.8734,0.0133,0.7794,0.0265,0.001157
mouse_pancreas_tms_10x,0.05,CellTypist,3,0.6208,0.0286,0.4507,0.0305,0.0
mouse_pancreas_tms_10x,0.05,scBalance,3,0.6091,0.0666,0.4413,0.0703,0.0
mouse_pancreas_tms_10x,0.05,ProtoCloud,3,0.5518,0.1319,0.3944,0.1265,0.001157
mouse_pancreas_tms_10x,0.05,HiCat,3,0.0,0.0,0.0,0.0,0.0
mouse_pancreas_tms_10x,0.05,scCAD,3,0.6505,0.0817,0.7934,0.0531,0.072917
mouse_pancreas_tms_10x,0.05,TOSICA,3,0.3468,0.1202,0.216,0.0848,0.0
mouse_pancreas_tms_10x,0.05,scRareRefine,3,0.9127,0.0287,0.8639,0.0404,0.003472
mouse_pancreas_tms_10x,0.10,scANVI,3,0.9127,0.0033,0.8592,0.0,0.002315
mouse_pancreas_tms_10x,0.10,kNN,3,0.8868,0.0257,0.8169,0.0527,0.003472
mouse_pancreas_tms_10x,0.10,CellTypist,3,0.8187,0.0014,0.6995,0.0066,0.001157
mouse_pancreas_tms_10x,0.10,scBalance,3,0.8024,0.1187,0.6854,0.1561,0.0
mouse_pancreas_tms_10x,0.10,ProtoCloud,3,0.715,0.0665,0.5634,0.0805,0.001157
mouse_pancreas_tms_10x,0.10,HiCat,3,0.1191,0.1492,0.0704,0.0898,0.0
mouse_pancreas_tms_10x,0.10,scCAD,3,0.6804,0.0603,0.8592,0.0,0.075231
mouse_pancreas_tms_10x,0.10,TOSICA,3,0.5407,0.0257,0.3709,0.024,0.0
mouse_pancreas_tms_10x,0.10,scRareRefine,3,0.9202,0.0097,0.892,0.0066,0.005787
mouse_pancreas_tms_10x,all,scANVI,3,0.9572,0.0056,0.9437,0.0,0.003472
mouse_pancreas_tms_10x,all,kNN,3,0.958,0.0098,0.9624,0.0132,0.005787
mouse_pancreas_tms_10x,all,CellTypist,3,0.9583,0.0,0.9718,0.0,0.00463
mouse_pancreas_tms_10x,all,scBalance,3,0.9457,0.0183,0.9718,0.0115,0.012731
mouse_pancreas_tms_10x,all,ProtoCloud,3,0.9627,0.0036,0.9718,0.0115,0.00463
mouse_pancreas_tms_10x,all,HiCat,3,0.8847,0.0109,0.7934,0.0176,0.0
mouse_pancreas_tms_10x,all,scCAD,3,0.7219,0.063,0.9437,0.0,0.076389
mouse_pancreas_tms_10x,all,TOSICA,3,0.8855,0.0,0.8169,0.0,0.002315
mouse_pancreas_tms_10x,all,scRareRefine,3,0.949,0.0124,0.9577,0.0115,0.008102
