region,analysis,baseline,dataset,dataset_effect,n_within_dataset_pairs
SCARCE rts<=0.10 (8ds x 3rts x 3seed),nominal_budget,scBalance,mouse_lung_tms_10x,0.10651111111111113,9
SCARCE rts<=0.10 (8ds x 3rts x 3seed),nominal_budget,scBalance,mouse_pancreas_tms_10x,0.23045555555555555,9
SCARCE rts<=0.10 (8ds x 3rts x 3seed),nominal_budget,scBalance,pancreas_baron,0.3318888888888889,9
SCARCE rts<=0.10 (8ds x 3rts x 3seed),nominal_budget,scBalance,pancreas_integrated,0.015155555555555552,9
SCARCE rts<=0.10 (8ds x 3rts x 3seed),nominal_budget,scBalance,tabula_lung_endo,0.1586777777777778,9
SCARCE rts<=0.10 (8ds x 3rts x 3seed),nominal_budget,scBalance,tabula_sapiens_stomach,0.3311444444444444,9
SCARCE rts<=0.10 (8ds x 3rts x 3seed),nominal_budget,scBalance,tabula_small_intestine,0.10762222222222223,9
SCARCE rts<=0.10 (8ds x 3rts x 3seed),collapse_aware_effective_count,scBalance,immune_dc,0.46346666666666664,9
SCARCE rts<=0.10 (8ds x 3rts x 3seed),collapse_aware_effective_count,scBalance,mouse_lung_tms_10x,0.10651111111111113,9
SCARCE rts<=0.10 (8ds x 3rts x 3seed),collapse_aware_effective_count,scBalance,mouse_pancreas_tms_10x,0.23045555555555555,9
SCARCE rts<=0.10 (8ds x 3rts x 3seed),collapse_aware_effective_count,scBalance,pancreas_baron,0.27871666666666667,6
SCARCE rts<=0.10 (8ds x 3rts x 3seed),collapse_aware_effective_count,scBalance,pancreas_integrated,0.015155555555555552,9
SCARCE rts<=0.10 (8ds x 3rts x 3seed),collapse_aware_effective_count,scBalance,tabula_lung_endo,0.1586777777777778,9
SCARCE rts<=0.10 (8ds x 3rts x 3seed),collapse_aware_effective_count,scBalance,tabula_sapiens_stomach,0.33114444444444446,3
SCARCE rts<=0.10 (8ds x 3rts x 3seed),collapse_aware_effective_count,scBalance,tabula_small_intestine,0.10762222222222223,9
SCARCE rts<=0.10 (8ds x 3rts x 3seed),nominal_budget,ProtoCloud,immune_dc,0.48116666666666663,9
SCARCE rts<=0.10 (8ds x 3rts x 3seed),nominal_budget,ProtoCloud,mouse_lung_tms_10x,0.17872222222222223,9
SCARCE rts<=0.10 (8ds x 3rts x 3seed),nominal_budget,ProtoCloud,mouse_pancreas_tms_10x,0.3990111111111111,9
SCARCE rts<=0.10 (8ds x 3rts x 3seed),nominal_budget,ProtoCloud,pancreas_baron,0.3026,9
SCARCE rts<=0.10 (8ds x 3rts x 3seed),nominal_budget,ProtoCloud,pancreas_integrated,0.038111111111111096,9
SCARCE rts<=0.10 (8ds x 3rts x 3seed),nominal_budget,ProtoCloud,tabula_lung_endo,0.1596,9
SCARCE rts<=0.10 (8ds x 3rts x 3seed),nominal_budget,ProtoCloud,tabula_sapiens_stomach,0.36539999999999995,9
SCARCE rts<=0.10 (8ds x 3rts x 3seed),nominal_budget,ProtoCloud,tabula_small_intestine,0.008366666666666696,9
SCARCE rts<=0.10 (8ds x 3rts x 3seed),collapse_aware_effective_count,ProtoCloud,immune_dc,0.48116666666666663,9
SCARCE rts<=0.10 (8ds x 3rts x 3seed),collapse_aware_effective_count,ProtoCloud,mouse_lung_tms_10x,0.17872222222222223,9
SCARCE rts<=0.10 (8ds x 3rts x 3seed),collapse_aware_effective_count,ProtoCloud,mouse_pancreas_tms_10x,0.3990111111111111,9
SCARCE rts<=0.10 (8ds x 3rts x 3seed),collapse_aware_effective_count,ProtoCloud,pancreas_baron,0.27224999999999994,6
SCARCE rts<=0.10 (8ds x 3rts x 3seed),collapse_aware_effective_count,ProtoCloud,pancreas_integrated,0.038111111111111096,9
SCARCE rts<=0.10 (8ds x 3rts x 3seed),collapse_aware_effective_count,ProtoCloud,tabula_lung_endo,0.1596,9
SCARCE rts<=0.10 (8ds x 3rts x 3seed),collapse_aware_effective_count,ProtoCloud,tabula_sapiens_stomach,0.3654,3
SCARCE rts<=0.10 (8ds x 3rts x 3seed),collapse_aware_effective_count,ProtoCloud,tabula_small_intestine,0.008366666666666696,9
SCARCE rts<=0.10 (8ds x 3rts x 3seed),nominal_budget,HiCat,immune_dc,0.7818,9
SCARCE rts<=0.10 (8ds x 3rts x 3seed),nominal_budget,HiCat,mouse_lung_tms_10x,0.25693333333333335,9
SCARCE rts<=0.10 (8ds x 3rts x 3seed),nominal_budget,HiCat,mouse_pancreas_tms_10x,0.8413555555555555,9
SCARCE rts<=0.10 (8ds x 3rts x 3seed),nominal_budget,HiCat,pancreas_baron,0.6243444444444444,9
SCARCE rts<=0.10 (8ds x 3rts x 3seed),nominal_budget,HiCat,pancreas_integrated,0.43851111111111113,9
SCARCE rts<=0.10 (8ds x 3rts x 3seed),nominal_budget,HiCat,tabula_lung_endo,0.9492888888888888,9
SCARCE rts<=0.10 (8ds x 3rts x 3seed),nominal_budget,HiCat,tabula_sapiens_stomach,0.7056666666666667,9
SCARCE rts<=0.10 (8ds x 3rts x 3seed),nominal_budget,HiCat,tabula_small_intestine,0.6526666666666667,9
SCARCE rts<=0.10 (8ds x 3rts x 3seed),collapse_aware_effective_count,HiCat,immune_dc,0.7818,9
SCARCE rts<=0.10 (8ds x 3rts x 3seed),collapse_aware_effective_count,HiCat,mouse_lung_tms_10x,0.25693333333333335,9
SCARCE rts<=0.10 (8ds x 3rts x 3seed),collapse_aware_effective_count,HiCat,mouse_pancreas_tms_10x,0.8413555555555555,9
SCARCE rts<=0.10 (8ds x 3rts x 3seed),collapse_aware_effective_count,HiCat,pancreas_baron,0.6550666666666666,6
SCARCE rts<=0.10 (8ds x 3rts x 3seed),collapse_aware_effective_count,HiCat,pancreas_integrated,0.43851111111111113,9
SCARCE rts<=0.10 (8ds x 3rts x 3seed),collapse_aware_effective_count,HiCat,tabula_lung_endo,0.9492888888888888,9
SCARCE rts<=0.10 (8ds x 3rts x 3seed),collapse_aware_effective_count,HiCat,tabula_sapiens_stomach,0.7056666666666667,3
SCARCE rts<=0.10 (8ds x 3rts x 3seed),collapse_aware_effective_count,HiCat,tabula_small_intestine,0.6526666666666667,9
SCARCE rts<=0.10 (8ds x 3rts x 3seed),nominal_budget,scCAD,immune_dc,0.4666666666666667,9
SCARCE rts<=0.10 (8ds x 3rts x 3seed),nominal_budget,scCAD,mouse_lung_tms_10x,0.19741111111111112,9
SCARCE rts<=0.10 (8ds x 3rts x 3seed),nominal_budget,scCAD,mouse_pancreas_tms_10x,0.3286888888888889,9
SCARCE rts<=0.10 (8ds x 3rts x 3seed),nominal_budget,scCAD,pancreas_baron,0.2823222222222222,9
SCARCE rts<=0.10 (8ds x 3rts x 3seed),nominal_budget,scCAD,pancreas_integrated,0.3049,9
SCARCE rts<=0.10 (8ds x 3rts x 3seed),nominal_budget,scCAD,tabula_lung_endo,0.12483333333333332,9
SCARCE rts<=0.10 (8ds x 3rts x 3seed),nominal_budget,scCAD,tabula_sapiens_stomach,0.4645,9
SCARCE rts<=0.10 (8ds x 3rts x 3seed),nominal_budget,scCAD,tabula_small_intestine,0.4565444444444445,9
SCARCE rts<=0.10 (8ds x 3rts x 3seed),collapse_aware_effective_count,scCAD,immune_dc,0.4666666666666667,9
SCARCE rts<=0.10 (8ds x 3rts x 3seed),collapse_aware_effective_count,scCAD,mouse_lung_tms_10x,0.19741111111111112,9
SCARCE rts<=0.10 (8ds x 3rts x 3seed),collapse_aware_effective_count,scCAD,mouse_pancreas_tms_10x,0.3286888888888889,9
SCARCE rts<=0.10 (8ds x 3rts x 3seed),collapse_aware_effective_count,scCAD,pancreas_baron,0.2689833333333333,6
SCARCE rts<=0.10 (8ds x 3rts x 3seed),collapse_aware_effective_count,scCAD,pancreas_integrated,0.3049,9
SCARCE rts<=0.10 (8ds x 3rts x 3seed),collapse_aware_effective_count,scCAD,tabula_lung_endo,0.12483333333333332,9
SCARCE rts<=0.10 (8ds x 3rts x 3seed),collapse_aware_effective_count,scCAD,tabula_sapiens_stomach,0.46449999999999997,3
SCARCE rts<=0.10 (8ds x 3rts x 3seed),collapse_aware_effective_count,scCAD,tabula_small_intestine,0.4565444444444445,9
SCARCE rts<=0.10 (8ds x 3rts x 3seed),nominal_budget,TOSICA,immune_dc,0.3992,9
SCARCE rts<=0.10 (8ds x 3rts x 3seed),nominal_budget,TOSICA,mouse_lung_tms_10x,0.14321111111111112,9
SCARCE rts<=0.10 (8ds x 3rts x 3seed),nominal_budget,TOSICA,mouse_pancreas_tms_10x,0.4651,9
SCARCE rts<=0.10 (8ds x 3rts x 3seed),nominal_budget,TOSICA,pancreas_baron,0.5855222222222222,9
SCARCE rts<=0.10 (8ds x 3rts x 3seed),nominal_budget,TOSICA,pancreas_integrated,0.15107777777777776,9
SCARCE rts<=0.10 (8ds x 3rts x 3seed),nominal_budget,TOSICA,tabula_lung_endo,0.07526666666666665,9
