dataset,seed,rare_train_size,method,sep,rare_f1,rare_recall,rare_precision,rare_fp_rate,rescue_ffr
pancreas_integrated,43,0.05,scRareRefine,1.6065,1.0,1.0,1.0,0.0,0.0
pancreas_integrated,43,0.10,scANVI,1.3032,1.0,1.0,1.0,0.0,0.0
pancreas_integrated,43,0.10,kNN,1.3032,1.0,1.0,1.0,0.0,0.0
pancreas_integrated,43,0.10,scRareRefine,1.3032,1.0,1.0,1.0,0.0,0.0
pancreas_integrated,43,all,scANVI,1.4104,0.9583,1.0,0.92,0.001176,0.0
pancreas_integrated,43,all,kNN,1.4104,0.9787,1.0,0.9583,0.000588,0.000588
pancreas_integrated,43,all,scRareRefine,1.4104,0.9583,1.0,0.92,0.001176,0.0
pancreas_integrated,44,0.01,scANVI,1.4167,0.0,0.0,0.0,0.0,0.0
pancreas_integrated,44,0.01,kNN,1.4167,0.9302,0.8696,1.0,0.0,0.0
pancreas_integrated,44,0.01,scRareRefine,1.4167,1.0,1.0,1.0,0.0,0.0
pancreas_integrated,44,0.05,scANVI,1.5341,1.0,1.0,1.0,0.0,0.0
pancreas_integrated,44,0.05,kNN,1.5341,0.9778,0.9565,1.0,0.0,0.0
pancreas_integrated,44,0.05,scRareRefine,1.5341,1.0,1.0,1.0,0.0,0.0
pancreas_integrated,44,0.10,scANVI,1.5686,1.0,1.0,1.0,0.0,0.0
pancreas_integrated,44,0.10,kNN,1.5686,0.9778,0.9565,1.0,0.0,0.0
pancreas_integrated,44,0.10,scRareRefine,1.5686,1.0,1.0,1.0,0.0,0.0
pancreas_integrated,44,all,scANVI,1.3665,0.9787,1.0,0.9583,0.000588,0.0
pancreas_integrated,44,all,kNN,1.3665,0.9787,1.0,0.9583,0.000588,0.000588
pancreas_integrated,44,all,scRareRefine,1.3665,0.9787,1.0,0.9583,0.000588,0.0
