dataset,split_mode,seed,rare_train_size,rare_class,status,n_train,n_val,n_test,train_pct,val_pct,test_pct,rare_train,rare_val,rare_test,split_hash,git_sha,scANVI_f1,scANVI_recall,scANVI_precision,scRareRefine_f1,scRareRefine_recall,scRareRefine_precision,delta_f1,delta_recall,rescue_ffr,n_rescued,n_false_rescue,abstained,sep
pancreas_baron,batch_heldout,42,0.10,gamma,ok,5542,1303,1724,0.6467499124752013,0.1520597502625744,0.2011903372622243,106,63,86,507baa4fe66b76ae,unknown,0.7916666666666666,0.6627906976744186,0.9827586206896552,0.8157894736842105,0.7209302325581395,0.9393939393939394,0.02412280701754388,0.05813953488372092,0.0018315018315018,8,3,False,
pancreas_baron,batch_heldout,42,all,gamma,ok,5542,1303,1724,0.6467499124752013,0.1520597502625744,0.2011903372622243,106,63,86,507baa4fe66b76ae,unknown,0.9142857142857144,0.9302325581395348,0.898876404494382,0.9142857142857144,0.9302325581395348,0.898876404494382,0.0,0.0,0.0,0,0,True,
pancreas_baron,cell_stratified,42,0.01,gamma,ok,5998,1285,1286,0.6999649900805228,0.14995915509394328,0.1500758548255339,178,38,39,65fe4e10c9d8a568,91746c9,0.918918918918919,0.8717948717948718,0.9714285714285714,0.918918918918919,0.8717948717948718,0.9714285714285714,0.0,0.0,0.0,0,0,True,
pancreas_baron,cell_stratified,42,0.05,gamma,ok,5998,1285,1286,0.6999649900805228,0.14995915509394328,0.1500758548255339,178,38,39,65fe4e10c9d8a568,91746c9,0.96,0.9230769230769232,1.0,0.9736842105263158,0.9487179487179488,1.0,0.013684210526315854,0.02564102564102555,0.0,1,0,False,
pancreas_baron,cell_stratified,42,0.10,gamma,ok,5998,1285,1286,0.6999649900805228,0.14995915509394328,0.1500758548255339,178,38,39,65fe4e10c9d8a568,91746c9,0.96,0.9230769230769232,1.0,0.96,0.9230769230769232,1.0,0.0,0.0,0.0,0,0,True,
pancreas_baron,cell_stratified,42,all,gamma,ok,5998,1285,1286,0.6999649900805228,0.14995915509394328,0.1500758548255339,178,38,39,65fe4e10c9d8a568,91746c9,0.975,1.0,0.951219512195122,0.975,1.0,0.951219512195122,0.0,0.0,0.0,0,0,True,
pancreas_integrated,batch_heldout,42,0.01,endothelial,ok,7936,1303,1724,0.7238894463194381,0.11885432819483718,0.1572562254857247,243,7,23,2373a4f6ec6225a2,6a0ead9,1.0,1.0,1.0,0.9387755102040816,1.0,0.8846153846153846,-0.061224489795918435,0.0,0.001763668430335,3,3,False,
pancreas_integrated,batch_heldout,42,0.05,endothelial,ok,7936,1303,1724,0.7238894463194381,0.11885432819483718,0.1572562254857247,243,7,23,2373a4f6ec6225a2,6a0ead9,1.0,1.0,1.0,0.9787234042553192,1.0,0.9583333333333334,-0.02127659574468077,0.0,0.0005878894767783,1,1,False,
pancreas_integrated,batch_heldout,42,0.10,endothelial,ok,7936,1303,1724,0.7238894463194381,0.11885432819483718,0.1572562254857247,243,7,23,2373a4f6ec6225a2,6a0ead9,0.9787234042553192,1.0,0.9583333333333334,0.9787234042553192,1.0,0.9583333333333334,0.0,0.0,0.0,0,0,True,
pancreas_integrated,batch_heldout,42,all,endothelial,ok,7936,1303,1724,0.7238894463194381,0.11885432819483718,0.1572562254857247,243,7,23,2373a4f6ec6225a2,6a0ead9,0.9583333333333334,1.0,0.92,0.9583333333333334,1.0,0.92,0.0,0.0,0.0,0,0,True,
