dataset,rare_class,actual_training_labeled_rare_count,variant,variant_group,n_seeds,rare_f1_mean,rare_f1_std,rare_f1_min,rare_f1_max,rare_f1_n_defined,rare_recall_mean,rare_recall_std,rare_recall_min,rare_recall_max,rare_recall_n_defined,rescue_precision_mean,rescue_precision_std,rescue_precision_min,rescue_precision_max,rescue_precision_n_defined,incremental_fpr_mean,incremental_fpr_std,incremental_fpr_min,incremental_fpr_max,incremental_fpr_n_defined,abstention_rate,alpha_violation_rate,n_alpha_violations
immune_dc,ASDC,13,full_method,component,3,0.9402691410804508,0.0030562889101502532,0.9375,0.9435483870967742,3,0.9076923076923077,0.013323467750529842,0.9,0.9230769230769231,3,0.8627344877344877,0.0929292859271506,0.7727272727272727,0.9583333333333334,3,0.00044414834554741284,0.00034671319111694417,0.00016655562958027982,0.0008327781479013991,3,0.0,0.0,0
immune_dc,ASDC,13,rank_1,rank,3,0.9402691410804508,0.0030562889101502532,0.9375,0.9435483870967742,3,0.9076923076923077,0.013323467750529842,0.9,0.9230769230769231,3,0.8627344877344877,0.0929292859271506,0.7727272727272727,0.9583333333333334,3,0.00044414834554741284,0.00034671319111694417,0.00016655562958027982,0.0008327781479013991,3,0.0,0.0,0
immune_dc,ASDC,13,rank_2,rank,3,0.8153076079791602,0.02362843890335955,0.7974683544303798,0.8421052631578947,3,0.976923076923077,0.0076923076923077205,0.9692307692307692,0.9846153846153847,3,0.3254861669495816,0.04163317157271857,0.2804878048780488,0.3626373626373626,3,0.009049522540528536,0.0012048930942821843,0.007661558960692871,0.00982678214523651,3,0.0,0.0,0
immune_dc,ASDC,13,rank_3,rank,3,0.7982579951002172,0.02394722142819721,0.7753846153846153,0.8231511254019293,3,0.976923076923077,0.0076923076923077205,0.9692307692307692,0.9846153846153847,3,0.3009157509157509,0.04733391408117727,0.25274725274725274,0.3473684210526316,3,0.01015989340439707,0.0012574674275933964,0.00882744836775483,0.011325782811459028,3,0.0,0.6666666666666666,2
immune_dc,ASDC,13,adaptive_rank,rank,3,0.9402691410804508,0.0030562889101502532,0.9375,0.9435483870967742,3,0.9076923076923077,0.013323467750529842,0.9,0.9230769230769231,3,0.8627344877344877,0.0929292859271506,0.7727272727272727,0.9583333333333334,3,0.00044414834554741284,0.00034671319111694417,0.00016655562958027982,0.0008327781479013991,3,0.0,0.0,0
immune_dc,ASDC,27,baseline,component,3,0.9105149527771319,0.0265051190353092,0.8803418803418803,0.9300411522633745,3,0.8384615384615385,0.04070386632407065,0.7923076923076923,0.8692307692307693,3,,,,,0,0.0,0.0,0.0,0.0,3,0.0,0.0,0
immune_dc,ASDC,27,minus_separability_gate,component,3,0.9430845313230481,0.014678558382379452,0.9274193548387096,0.9565217391304348,3,0.9153846153846154,0.026646935501059683,0.8846153846153846,0.9307692307692308,3,0.7746031746031745,0.0977447893227978,0.6666666666666666,0.8571428571428571,3,0.0004996668887408394,0.0002884828127196664,0.00033311125916055963,0.0008327781479013991,3,0.0,0.0,0
immune_dc,ASDC,27,minus_necessity_gate,component,3,0.9430845313230481,0.014678558382379452,0.9274193548387096,0.9565217391304348,3,0.9153846153846154,0.026646935501059683,0.8846153846153846,0.9307692307692308,3,0.7746031746031745,0.0977447893227978,0.6666666666666666,0.8571428571428571,3,0.0004996668887408394,0.0002884828127196664,0.00033311125916055963,0.0008327781479013991,3,0.0,0.0,0
immune_dc,ASDC,27,fixed_rank_1,component,3,0.9430845313230481,0.014678558382379452,0.9274193548387096,0.9565217391304348,3,0.9153846153846154,0.026646935501059683,0.8846153846153846,0.9307692307692308,3,0.7746031746031745,0.0977447893227978,0.6666666666666666,0.8571428571428571,3,0.0004996668887408394,0.0002884828127196664,0.00033311125916055963,0.0008327781479013991,3,0.0,0.0,0
immune_dc,ASDC,27,minus_conformal_tau,component,3,0.9430845313230481,0.014678558382379452,0.9274193548387096,0.9565217391304348,3,0.9153846153846154,0.026646935501059683,0.8846153846153846,0.9307692307692308,3,0.7746031746031745,0.0977447893227978,0.6666666666666666,0.8571428571428571,3,0.0004996668887408394,0.0002884828127196664,0.00033311125916055963,0.0008327781479013991,3,0.0,0.0,0
immune_dc,ASDC,27,full_method,component,3,0.9430845313230481,0.014678558382379452,0.9274193548387096,0.9565217391304348,3,0.9153846153846154,0.026646935501059683,0.8846153846153846,0.9307692307692308,3,0.7746031746031745,0.0977447893227978,0.6666666666666666,0.8571428571428571,3,0.0004996668887408394,0.0002884828127196664,0.00033311125916055963,0.0008327781479013991,3,0.0,0.0,0
