dataset,rare_class,seed,split_hash,actual_training_labeled_rare_count,labeled_rare_id_sha256,n_folded_nominal_budgets,folded_nominal_budgets,source_run_dirs,all_training_cells,total_labeled_training_cells,train_rare_pool,validation_rare,test_rare,all_split_rare,total_rare_supervision,training_rare_label_fraction,training_rare_share_of_all_split_rare,total_supervised_rare_share_of_all_split_rare,training_rare_label_share_of_training_cells
tabula_sapiens_stomach,mast cell,43,d796289a5b941ac3,52,99b7a4321e1beb35d85a09e84f7eb37df196622256d563a021bdf06df9320b69,1,"[""all""]","[""outputs\\tabula_sapiens_stomach\\batch_heldout_seed43_mast_cell_rareall""]",14277,14277,52,884,32,968,936,1.0,0.05371900826446281,0.9669421487603306,0.003642221755270715
tabula_sapiens_stomach,mast cell,44,d796289a5b941ac3,5,fd67f4298f788f7c73becd9d49b00f3bf7acc898a423c4a79ea1a499f69710ff,3,"[""0.01"",""0.05"",""0.10""]","[""outputs\\tabula_sapiens_stomach\\batch_heldout_seed44_mast_cell_rare1pct"",""outputs\\tabula_sapiens_stomach\\batch_heldout_seed44_mast_cell_rare5pct"",""outputs\\tabula_sapiens_stomach\\batch_heldout_seed44_mast_cell_rare10pct""]",14277,14230,52,884,32,968,889,0.09615384615384616,0.005165289256198347,0.9183884297520661,0.00035021363031449183
tabula_sapiens_stomach,mast cell,44,d796289a5b941ac3,52,99b7a4321e1beb35d85a09e84f7eb37df196622256d563a021bdf06df9320b69,1,"[""all""]","[""outputs\\tabula_sapiens_stomach\\batch_heldout_seed44_mast_cell_rareall""]",14277,14277,52,884,32,968,936,1.0,0.05371900826446281,0.9669421487603306,0.003642221755270715
tabula_small_intestine,intestinal tuft cell,42,2d3d2e6d369f4cb5,5,04a107a54de440a767fb6f8f9a51ad9e164877cc8cc9d6970ee4ee6aa7f57d8b,1,"[""0.01""]","[""outputs\\tabula_small_intestine\\batch_heldout_seed42_intestinal_tuft_cell_rare1pct""]",24282,23972,315,55,65,435,60,0.015873015873015872,0.011494252873563218,0.13793103448275862,0.0002059138456469813
tabula_small_intestine,intestinal tuft cell,42,2d3d2e6d369f4cb5,15,3687916af7de1cf1bb996386bf75583df6302845f1681160f159814e8cf0fb3d,1,"[""0.05""]","[""outputs\\tabula_small_intestine\\batch_heldout_seed42_intestinal_tuft_cell_rare5pct""]",24282,23982,315,55,65,435,70,0.047619047619047616,0.034482758620689655,0.16091954022988506,0.000617741536940944
tabula_small_intestine,intestinal tuft cell,42,2d3d2e6d369f4cb5,31,95d7b979a6032608be9aba9d69148d0b6b028fafbefb50692d93cc3fc3920275,1,"[""0.10""]","[""outputs\\tabula_small_intestine\\batch_heldout_seed42_intestinal_tuft_cell_rare10pct""]",24282,23998,315,55,65,435,86,0.09841269841269841,0.07126436781609195,0.19770114942528735,0.001276665843011284
tabula_small_intestine,intestinal tuft cell,42,2d3d2e6d369f4cb5,315,e35086053f34698e5f45edaa5a36ae29b8f05250f490525da0e61709402b932d,1,"[""all""]","[""outputs\\tabula_small_intestine\\batch_heldout_seed42_intestinal_tuft_cell_rareall""]",24282,24282,315,55,65,435,370,1.0,0.7241379310344828,0.8505747126436781,0.012972572275759823
tabula_small_intestine,intestinal tuft cell,43,2d3d2e6d369f4cb5,5,a2e3ef57a0b5cd0b2eac7fe921a1b79920a8b5e2f131b51bb2d212c84a019259,1,"[""0.01""]","[""outputs\\tabula_small_intestine\\batch_heldout_seed43_intestinal_tuft_cell_rare1pct""]",24282,23972,315,55,65,435,60,0.015873015873015872,0.011494252873563218,0.13793103448275862,0.0002059138456469813
tabula_small_intestine,intestinal tuft cell,43,2d3d2e6d369f4cb5,15,4803d585e17a8db7581a70be0893f5b619f87d551a1f62f123f35b97a88a7bc0,1,"[""0.05""]","[""outputs\\tabula_small_intestine\\batch_heldout_seed43_intestinal_tuft_cell_rare5pct""]",24282,23982,315,55,65,435,70,0.047619047619047616,0.034482758620689655,0.16091954022988506,0.000617741536940944
tabula_small_intestine,intestinal tuft cell,43,2d3d2e6d369f4cb5,31,32b7bce48894b0eaa20d81a7e5ebab9e7b81a2d2fda886da9a57db9b4f3bd41a,1,"[""0.10""]","[""outputs\\tabula_small_intestine\\batch_heldout_seed43_intestinal_tuft_cell_rare10pct""]",24282,23998,315,55,65,435,86,0.09841269841269841,0.07126436781609195,0.19770114942528735,0.001276665843011284
tabula_small_intestine,intestinal tuft cell,43,2d3d2e6d369f4cb5,315,e35086053f34698e5f45edaa5a36ae29b8f05250f490525da0e61709402b932d,1,"[""all""]","[""outputs\\tabula_small_intestine\\batch_heldout_seed43_intestinal_tuft_cell_rareall""]",24282,24282,315,55,65,435,370,1.0,0.7241379310344828,0.8505747126436781,0.012972572275759823
tabula_small_intestine,intestinal tuft cell,44,2d3d2e6d369f4cb5,5,680879a442026807e9fc1c5298f2c31408480f6731d283a5c54607ab3493d138,1,"[""0.01""]","[""outputs\\tabula_small_intestine\\batch_heldout_seed44_intestinal_tuft_cell_rare1pct""]",24282,23972,315,55,65,435,60,0.015873015873015872,0.011494252873563218,0.13793103448275862,0.0002059138456469813
tabula_small_intestine,intestinal tuft cell,44,2d3d2e6d369f4cb5,15,6ccc61baacd53d698fc905cde17c7fb877cc07fa5f5c3ae223a732b4a16a64bf,1,"[""0.05""]","[""outputs\\tabula_small_intestine\\batch_heldout_seed44_intestinal_tuft_cell_rare5pct""]",24282,23982,315,55,65,435,70,0.047619047619047616,0.034482758620689655,0.16091954022988506,0.000617741536940944
