dataset,rare_class,actual_training_labeled_rare_count,seed,n_identity_runs,split_hashes,identity_hashes,folded_nominal_budgets,all_training_cells,total_labeled_training_cells,train_rare_pool,validation_rare,test_rare,all_split_rare,total_rare_supervision,training_rare_label_fraction,training_rare_share_of_all_split_rare,total_supervised_rare_share_of_all_split_rare,training_rare_label_share_of_training_cells
tabula_small_intestine,intestinal tuft cell,15,42,1,"[""2d3d2e6d369f4cb5""]","[""3687916af7de1cf1bb996386bf75583df6302845f1681160f159814e8cf0fb3d""]","[""0.05""]",24282.0,23982.0,315.0,55.0,65.0,435.0,70.0,0.047619047619047616,0.034482758620689655,0.16091954022988506,0.000617741536940944
tabula_small_intestine,intestinal tuft cell,31,42,1,"[""2d3d2e6d369f4cb5""]","[""95d7b979a6032608be9aba9d69148d0b6b028fafbefb50692d93cc3fc3920275""]","[""0.10""]",24282.0,23998.0,315.0,55.0,65.0,435.0,86.0,0.09841269841269841,0.07126436781609195,0.19770114942528735,0.001276665843011284
tabula_small_intestine,intestinal tuft cell,315,42,1,"[""2d3d2e6d369f4cb5""]","[""e35086053f34698e5f45edaa5a36ae29b8f05250f490525da0e61709402b932d""]","[""all""]",24282.0,24282.0,315.0,55.0,65.0,435.0,370.0,1.0,0.7241379310344828,0.8505747126436781,0.012972572275759823
tabula_small_intestine,intestinal tuft cell,5,43,1,"[""2d3d2e6d369f4cb5""]","[""a2e3ef57a0b5cd0b2eac7fe921a1b79920a8b5e2f131b51bb2d212c84a019259""]","[""0.01""]",24282.0,23972.0,315.0,55.0,65.0,435.0,60.0,0.015873015873015872,0.011494252873563218,0.13793103448275862,0.0002059138456469813
tabula_small_intestine,intestinal tuft cell,15,43,1,"[""2d3d2e6d369f4cb5""]","[""4803d585e17a8db7581a70be0893f5b619f87d551a1f62f123f35b97a88a7bc0""]","[""0.05""]",24282.0,23982.0,315.0,55.0,65.0,435.0,70.0,0.047619047619047616,0.034482758620689655,0.16091954022988506,0.000617741536940944
tabula_small_intestine,intestinal tuft cell,31,43,1,"[""2d3d2e6d369f4cb5""]","[""32b7bce48894b0eaa20d81a7e5ebab9e7b81a2d2fda886da9a57db9b4f3bd41a""]","[""0.10""]",24282.0,23998.0,315.0,55.0,65.0,435.0,86.0,0.09841269841269841,0.07126436781609195,0.19770114942528735,0.001276665843011284
tabula_small_intestine,intestinal tuft cell,315,43,1,"[""2d3d2e6d369f4cb5""]","[""e35086053f34698e5f45edaa5a36ae29b8f05250f490525da0e61709402b932d""]","[""all""]",24282.0,24282.0,315.0,55.0,65.0,435.0,370.0,1.0,0.7241379310344828,0.8505747126436781,0.012972572275759823
tabula_small_intestine,intestinal tuft cell,5,44,1,"[""2d3d2e6d369f4cb5""]","[""680879a442026807e9fc1c5298f2c31408480f6731d283a5c54607ab3493d138""]","[""0.01""]",24282.0,23972.0,315.0,55.0,65.0,435.0,60.0,0.015873015873015872,0.011494252873563218,0.13793103448275862,0.0002059138456469813
tabula_small_intestine,intestinal tuft cell,15,44,1,"[""2d3d2e6d369f4cb5""]","[""6ccc61baacd53d698fc905cde17c7fb877cc07fa5f5c3ae223a732b4a16a64bf""]","[""0.05""]",24282.0,23982.0,315.0,55.0,65.0,435.0,70.0,0.047619047619047616,0.034482758620689655,0.16091954022988506,0.000617741536940944
tabula_small_intestine,intestinal tuft cell,31,44,1,"[""2d3d2e6d369f4cb5""]","[""5e0d7c91f4b05efc50d7a52930252df3bd60bff6559299488a451776a90c2c92""]","[""0.10""]",24282.0,23998.0,315.0,55.0,65.0,435.0,86.0,0.09841269841269841,0.07126436781609195,0.19770114942528735,0.001276665843011284
tabula_small_intestine,intestinal tuft cell,315,44,1,"[""2d3d2e6d369f4cb5""]","[""e35086053f34698e5f45edaa5a36ae29b8f05250f490525da0e61709402b932d""]","[""all""]",24282.0,24282.0,315.0,55.0,65.0,435.0,370.0,1.0,0.7241379310344828,0.8505747126436781,0.012972572275759823
mouse_lung_tms_10x,vein endothelial cell,5,42,1,"[""c89516c458d2c8f2""]","[""b3af521e13912c84eeafd8441325bce2fac130b7de11316cc5ff19b9c0b61312""]","[""0.01""]",21585.0,21377.0,213.0,56.0,51.0,320.0,61.0,0.023474178403755867,0.015625,0.190625,0.0002316423442205235
mouse_lung_tms_10x,vein endothelial cell,10,42,1,"[""c89516c458d2c8f2""]","[""5fc7f66fe892c904aac29544dfe4fb7055171c53195ffbf3c1fcf8b191fd8eaf""]","[""0.05""]",21585.0,21382.0,213.0,56.0,51.0,320.0,66.0,0.046948356807511735,0.03125,0.20625,0.000463284688441047
mouse_lung_tms_10x,vein endothelial cell,21,42,1,"[""c89516c458d2c8f2""]","[""c7bb134b104f6e9562d93c5df926dbc69d9fcbf75e7db3fafc9af79d9d7ff1af""]","[""0.10""]",21585.0,21393.0,213.0,56.0,51.0,320.0,77.0,0.09859154929577464,0.065625,0.240625,0.0009728978457261987
mouse_lung_tms_10x,vein endothelial cell,213,42,1,"[""c89516c458d2c8f2""]","[""f3324ef55aa3a35550ee501cef19372bfee12b4509bb7c11aa9f1a5df94c9da4""]","[""all""]",21585.0,21585.0,213.0,56.0,51.0,320.0,269.0,1.0,0.665625,0.840625,0.009867963863794302
mouse_lung_tms_10x,vein endothelial cell,5,43,1,"[""c89516c458d2c8f2""]","[""5ca25d2e9c488b74c18e4979f7005ca0541ed8e4db4ba47582cdd7647177de6b""]","[""0.01""]",21585.0,21377.0,213.0,56.0,51.0,320.0,61.0,0.023474178403755867,0.015625,0.190625,0.0002316423442205235
mouse_lung_tms_10x,vein endothelial cell,10,43,1,"[""c89516c458d2c8f2""]","[""5a4b43e0f204ccce3c15b7b25d9a442a0681b1c0136da6683f503ae6c5594bd0""]","[""0.05""]",21585.0,21382.0,213.0,56.0,51.0,320.0,66.0,0.046948356807511735,0.03125,0.20625,0.000463284688441047
mouse_lung_tms_10x,vein endothelial cell,21,43,1,"[""c89516c458d2c8f2""]","[""212ceb23dcb2209d5fd6e70a4a76819b7ff6893d15e84a26f66a977883a615cb""]","[""0.10""]",21585.0,21393.0,213.0,56.0,51.0,320.0,77.0,0.09859154929577464,0.065625,0.240625,0.0009728978457261987
mouse_lung_tms_10x,vein endothelial cell,213,43,1,"[""c89516c458d2c8f2""]","[""f3324ef55aa3a35550ee501cef19372bfee12b4509bb7c11aa9f1a5df94c9da4""]","[""all""]",21585.0,21585.0,213.0,56.0,51.0,320.0,269.0,1.0,0.665625,0.840625,0.009867963863794302
mouse_lung_tms_10x,vein endothelial cell,5,44,1,"[""c89516c458d2c8f2""]","[""463b0d6d1a90ae9602a4ac6c04d253db2a92bd787404fb45831c91aa703655e3""]","[""0.01""]",21585.0,21377.0,213.0,56.0,51.0,320.0,61.0,0.023474178403755867,0.015625,0.190625,0.0002316423442205235
mouse_lung_tms_10x,vein endothelial cell,10,44,1,"[""c89516c458d2c8f2""]","[""9fd90210711d434675440f488f402117f5581e81063b8d2d9a0005874b647a02""]","[""0.05""]",21585.0,21382.0,213.0,56.0,51.0,320.0,66.0,0.046948356807511735,0.03125,0.20625,0.000463284688441047
mouse_lung_tms_10x,vein endothelial cell,21,44,1,"[""c89516c458d2c8f2""]","[""b5de6c4a6b7a796203d81ee2b88a2e0cc4b4f0b9c2062ccf7c945f1d4e6913eb""]","[""0.10""]",21585.0,21393.0,213.0,56.0,51.0,320.0,77.0,0.09859154929577464,0.065625,0.240625,0.0009728978457261987
mouse_lung_tms_10x,vein endothelial cell,213,44,1,"[""c89516c458d2c8f2""]","[""f3324ef55aa3a35550ee501cef19372bfee12b4509bb7c11aa9f1a5df94c9da4""]","[""all""]",21585.0,21585.0,213.0,56.0,51.0,320.0,269.0,1.0,0.665625,0.840625,0.009867963863794302
mouse_pancreas_tms_10x,pancreatic D cell,5,42,1,"[""18225570fcb5d9ef""]","[""be6aec7ff639ff73bdf5413e4fbd6d1534e5f2c491a3cb3d65976176b5cdb570""]","[""0.01""]",4821.0,4652.0,174.0,27.0,71.0,272.0,32.0,0.028735632183908046,0.01838235294117647,0.11764705882352941,0.0010371292263015972
mouse_pancreas_tms_10x,pancreatic D cell,8,42,1,"[""18225570fcb5d9ef""]","[""bbbec7c6d0177f389b045dd715d8433692d421b0b88e233bbc32464e3b784aed""]","[""0.05""]",4821.0,4655.0,174.0,27.0,71.0,272.0,35.0,0.04597701149425287,0.029411764705882353,0.12867647058823528,0.0016594067620825555
mouse_pancreas_tms_10x,pancreatic D cell,17,42,1,"[""18225570fcb5d9ef""]","[""e74bc08ab2e53fd5a8cbc909636e0cd6a5ba5fe294e7e3414d08bfdd6b4f077a""]","[""0.10""]",4821.0,4664.0,174.0,27.0,71.0,272.0,44.0,0.09770114942528736,0.0625,0.16176470588235295,0.0035262393694254304
mouse_pancreas_tms_10x,pancreatic D cell,174,42,1,"[""18225570fcb5d9ef""]","[""8b20b81b901a4d91e9f3d77dff05562c430d05b695b379aedbfd27999959fe0c""]","[""all""]",4821.0,4821.0,174.0,27.0,71.0,272.0,201.0,1.0,0.6397058823529411,0.7389705882352942,0.03609209707529558
mouse_pancreas_tms_10x,pancreatic D cell,5,43,1,"[""18225570fcb5d9ef""]","[""5df8f7d057bcbf31d246b2c427e5d339b76c9003097e3275cc6bfe04d46781f1""]","[""0.01""]",4821.0,4652.0,174.0,27.0,71.0,272.0,32.0,0.028735632183908046,0.01838235294117647,0.11764705882352941,0.0010371292263015972
mouse_pancreas_tms_10x,pancreatic D cell,8,43,1,"[""18225570fcb5d9ef""]","[""95679432a5bff1e76d60faed7017041b619e279f857d68a205356284d685eebf""]","[""0.05""]",4821.0,4655.0,174.0,27.0,71.0,272.0,35.0,0.04597701149425287,0.029411764705882353,0.12867647058823528,0.0016594067620825555
