dataset,dataset_label,rare_class,rare_train_size,rts_label,seed,method,rare_f1,rare_recall,rare_precision,overall_accuracy
pancreas_gamma,Pancreas-γ,gamma,all,all,44,scbalance,0.9772727272727272,1.0,0.9555555555555556,0.968677494199536
pancreas_gamma,Pancreas-γ,gamma,all,all,44,scRareRefine,0.9942196531791908,1.0,0.9885057471264368,0.976798143851508
tabula_spleen_innate lymphoid cell,Spleen-ILC,innate lymphoid cell,0.1,10%,42,baseline,0.4210526315789473,0.2666666666666666,1.0,0.922435005884241
tabula_spleen_innate lymphoid cell,Spleen-ILC,innate lymphoid cell,0.1,10%,42,knn_k15,0.1818181818181818,0.1,1.0,0.9178345993366857
tabula_spleen_innate lymphoid cell,Spleen-ILC,innate lymphoid cell,0.1,10%,42,lr,0.0625,0.0333333333333333,0.5,0.8948325665989088
tabula_spleen_innate lymphoid cell,Spleen-ILC,innate lymphoid cell,0.1,10%,42,scbalance,0.0,0.0,0.0,0.9011447523269498
tabula_spleen_innate lymphoid cell,Spleen-ILC,innate lymphoid cell,0.1,10%,42,scRareRefine,0.8307692307692308,0.9,0.7714285714285715,0.9238258264683856
tabula_spleen_innate lymphoid cell,Spleen-ILC,innate lymphoid cell,0.01,1%,42,baseline,0.064516129032258,0.0333333333333333,1.0,0.922435005884241
tabula_spleen_innate lymphoid cell,Spleen-ILC,innate lymphoid cell,0.01,1%,42,knn_k15,0.0,0.0,0.0,0.9168717235476624
tabula_spleen_innate lymphoid cell,Spleen-ILC,innate lymphoid cell,0.01,1%,42,lr,0.2564102564102564,0.1666666666666666,0.5555555555555556,0.895795442387932
tabula_spleen_innate lymphoid cell,Spleen-ILC,innate lymphoid cell,0.01,1%,42,scbalance,0.0,0.0,0.0,0.9025355729110944
tabula_spleen_innate lymphoid cell,Spleen-ILC,innate lymphoid cell,0.01,1%,42,scRareRefine,0.84375,0.9,0.7941176470588235,0.9247887022574088
tabula_spleen_innate lymphoid cell,Spleen-ILC,innate lymphoid cell,0.05,5%,42,baseline,0.064516129032258,0.0333333333333333,1.0,0.922435005884241
tabula_spleen_innate lymphoid cell,Spleen-ILC,innate lymphoid cell,0.05,5%,42,knn_k15,0.0,0.0,0.0,0.9168717235476624
tabula_spleen_innate lymphoid cell,Spleen-ILC,innate lymphoid cell,0.05,5%,42,lr,0.2564102564102564,0.1666666666666666,0.5555555555555556,0.8955814699903712
tabula_spleen_innate lymphoid cell,Spleen-ILC,innate lymphoid cell,0.05,5%,42,scbalance,0.0,0.0,0.0,0.9030705039049962
tabula_spleen_innate lymphoid cell,Spleen-ILC,innate lymphoid cell,0.05,5%,42,scRareRefine,0.84375,0.9,0.7941176470588235,0.9247887022574088
tabula_spleen_innate lymphoid cell,Spleen-ILC,innate lymphoid cell,all,all,42,baseline,0.8070175438596491,0.7666666666666667,0.8518518518518519,0.9237188402696052
tabula_spleen_innate lymphoid cell,Spleen-ILC,innate lymphoid cell,all,all,42,knn_k15,0.8070175438596491,0.7666666666666667,0.8518518518518519,0.9183695303305872
tabula_spleen_innate lymphoid cell,Spleen-ILC,innate lymphoid cell,all,all,42,lr,0.7540983606557377,0.7666666666666667,0.7419354838709677,0.897614207767198
tabula_spleen_innate lymphoid cell,Spleen-ILC,innate lymphoid cell,all,all,42,scbalance,0.8615384615384616,0.9333333333333332,0.8,0.9110944688135232
tabula_spleen_innate lymphoid cell,Spleen-ILC,innate lymphoid cell,all,all,42,scRareRefine,0.8787878787878788,0.9666666666666668,0.8055555555555556,0.924253771263507
